Timestamp,What is your current year of study,What is your current relationship status?,How do you prefer studying before exams?,Do you do competitive programming?,Which hostel do you live in?,What is your gender?,What is your favourite sport?,Favourite hangout place in campus,Which state/union territory do you belong to?,What is your dept?,What is your preferred coding language?,What is your favourite place to eat at IIT Guwahati?,Which is your favourite club in IIT Guwahati?,Are you satisfied in IIT Guwahati,What is your current cpi?
2022/08/15 10:45:58 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Lohit,Man,Swimming,IIT G lake (in front of library),Maharashtra,ECE,C++,Hostel Canteen,Coding Club,Yes,8.51
2022/08/15 10:48:41 pm GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Brahmaputra,Man,Table Tennis,Serpentine Lake 😏,Maharashtra,ECE,C++,Food Court,Coding Club,Yes,8.51
2022/08/15 10:50:32 pm GMT+5:30,2nd,Single,Studying on a regular basis,Yes,Lohit,Man,,Hostel Canteen,Goa,CST,C++,Nonveg stalls near library,Finance and Economics,Yes,8.65
2022/08/15 11:04:27 pm GMT+5:30,2nd,Single,Pulling of all nighters :),Yes,Manas,Man,Cricket ,Hostel Canteen,Madhya Pradesh,CSE,C++,Food Court,Coding Club,Yes,6.7
2022/08/16 1:10:54 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Dhansiri,Woman,Badminton ,New Sac,Rajasthan,ECE,Python,Food Court,E cell,Maybe,8.31
2022/08/16 1:11:51 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,Yes,Barak,Man,Cricket,Lake in front of the hospital,Chhattisgarh,CSE,C++,Food Court,E cell,Yes,9.6
2022/08/16 1:12:01 am GMT+5:30,2nd,In a relationship,Studying on a regular basis,No,Barak,Woman,basketball ,Lake in front of the hospital,Madhya Pradesh,ECE,C++,Food Court,Palates,No,7.97
2022/08/16 2:52:02 am GMT+5:30,1st,Single,Pulling of all nighters :),No,Disang,Woman,Badminton ,IIT G lake (in front of library),Uttar Pradesh,MnC,C++,Others,Cadence,Yes,-
2022/08/16 3:01:15 am GMT+5:30,2nd,Single,Pulling of all nighters :),No,Manas,Man,Volleyball ,New Sac,Maharashtra,ECE,Python,Hostel Mess,Xpressions,Yes,6.8
2022/08/16 6:56:07 am GMT+5:30,1st,In a relationship,Studying on a regular basis,No,Manas,Man,Cricket,IIT G lake (in front of library),Madhya Pradesh,ME,Python,Hostel Canteen,Finance and Economics,Yes,7.9
